Fruits,Gas Reading,,Day ,Status
Strawberry,106.5,,1,Fresh
Strawberry,136,,2,Fresh
Strawberry,177.5,,3,Fresh
Strawberry,214,,4,Fresh
Strawberry,255.5,,5,Overripe
Strawberry,311,,6,Overripe
Strawberry,481,,7,Overripe
Strawberry,755.5,,8,Root
Blueberry,118.5,,1,Fresh
Blueberry,123,,2,Fresh
Blueberry,128.5,,3,Fresh
Blueberry,131.5,,4,Fresh
Blueberry,137,,5,Fresh
Blueberry,161.5,,6,Fresh
Blueberry,183,,7,Fresh
Blueberry,221,,8,Fresh
Blueberry,255,,9,Overripe
Blueberry,329,,10,Overripe
Blueberry,443.5,,11,Root
Banana,74.5,,1,Fresh
Banana,86.5,,2,Fresh
Banana,110,,3,Fresh
Banana,129.5,,4,Fresh
Banana,162,,5,Fresh
Banana,190.5,,6,Fresh
Banana,263,,7,Overripe
Banana,296.5,,8,Overripe
Banana,512.5,,9,Overripe
Banana,762.5,,10,Root
Cucumber,87,,1,Fresh
Cucumber,108,,2,Fresh
Cucumber,118,,3,Fresh
Cucumber,131,,4,Fresh
Cucumber,148.5,,5,Fresh
Cucumber,162.5,,6,Fresh
Cucumber,189,,7,Fresh
Cucumber,225.5,,8,Fresh
Cucumber,264,,9,Overripe
Cucumber,313.5,,10,Overripe
Cucumber,445.5,,11,Overripe
Cucumber,502,,12,Overripe
Cucumber,767,,13,Root
Grapes,129,,1,Fresh
Grapes,139,,2,Fresh
Grapes,144.5,,3,Fresh
Grapes,162.5,,4,Fresh
Grapes,172,,5,Fresh
Grapes,213,,6,Fresh
Grapes,229,,7,Fresh
Grapes,243.5,,8,Fresh
Grapes,311.5,,9,Fresh
Grapes,352,,10,Overripe
Grapes,413,,11,Overripe
Grapes,575,,12,Overripe
Grapes,669,,13,Overripe
Grapes,841.5,,14,Root
Mango,102,,1,Fresh
Mango,104.5,,2,Fresh
Mango,110,,3,Fresh
Mango,122,,4,Fresh
Mango,131.5,,5,Fresh
Mango,141,,6,Fresh
Mango,159.5,,7,Fresh
Mango,175.5,,8,Fresh
Mango,179.5,,9,Fresh
Mango,193,,10,Fresh
Mango,199,,11,Fresh
Mango,213,,12,Fresh
Mango,276,,13,Fresh
Mango,332,,14,Overripe
Mango,370.5,,15,Overripe
Mango,437,,16,Overripe
Mango,494,,17,Overripe
Mango,567,,18,Overripe
Mango,622,,19,Overripe
Mango,827,,20,Overripe
Mango,1024,,21,Root
Tomato,1024,,1,Fresh
Tomato,80,,2,Fresh
Tomato,97,,3,Fresh
Tomato,100.5,,4,Fresh
Tomato,117.5,,5,Fresh
Tomato,121,,6,Fresh
Tomato,128,,7,Fresh
Tomato,132.5,,8,Fresh
Tomato,148,,9,Fresh
Tomato,151.5,,10,Fresh
Tomato,154,,11,Fresh
Tomato,158.5,,12,Fresh
Tomato,163,,13,Fresh
Tomato,176,,14,Fresh
Tomato,191,,15,Fresh
Tomato,231.5,,16,Fresh
Tomato,301,,17,Fresh
Tomato,321,,18,Fresh
Tomato,345.5,,19,Fresh
Tomato,388,,20,Overripe
Tomato,409,,21,Overripe
Tomato,456.5,,22,Overripe
Tomato,491,,23,Overripe
Tomato,508,,24,Overripe
Tomato,992,,25,Root
